Name,Class,Spells,Skills
076d33f5,Ranger 20,Fog Cloud*1|Absorb Elements*1|Speak With Animals*1|Hunters Mark*1|Beast Sense*2|Find Traps*2|Locate Object *2|Conjure Animals*3|Flame Arrows*3|Lighting Arrows*3|Freedom Of Movement*4|Stone Skin*4|Grasping Vine*4|Conjure Volley*5|Swift Quiver*5,Acrobatics|Stealth|Investigation|Insight|Perception|Deception
1747c66f,Druid 20,Infestation*0|Light*0|Poison Spray*0|Primal Savagery*0|Eldritch Blast*0|Healing Word*1|Goodberry*1|Earth Tremor*1|Speak With Animals*1|Enhance Ability*2|Summon Beast*2|Flaming Sphere*2|Conjure Animals*3|Crown Of Madness*3|Aura Of Vitality*3|Charm Monster*4|Conjure Minor Elementals*4|Stone Skin*4|Conjure Elementals*5|Wrath Of Nature*5|Geas*5|Move Earth*6|Druid Grove*6|Reverse Gravity*7|Regenerate *7|Animal Shapes*8|Shapechange*9,Arcana|Nature|Insight|Perception
e38541dc,Fighter 20,No spells,Athletics|Acrobatics|Survival|Intimidation
8f563448,Druid 20,No spells,Athletics|Nature|Animal Handling|Medicine|Survival
be717d80,Cleric 20,Sacred Flame*0|Spare The Dying*0|Fog Cloud*1|Thunderwave*1|Hellish Rebuke*1|Healing Word*1|Cure Wounds*1|Inflict Wounds*1|Bane *1|Bless*1|Gust of Wind*2|Shatter*2|Spiritual Weapon*2|Hold Person*2|Call Lightning*3|Sleet Storm*3|Dispel Magic*3|Spirit Guardians*3|Control Water*4|Ice Storm*4|Banishment*4|Death Ward*4|Destructive Wave*5|Insect Plague*5|Heal*6|Power Word Heal*9,Religion|Insight|Medicine|Persuasion
e2915746,Wizard 20,Frostbite*0|Chill Touch*0|Mage Hand*0|Ray Of Frost*0|Toll The Dead*0|Magic Missile*1|Shield*1|Blur*2|Misty Step*2|Fortunes Favor*2|Shadow Blade*2|Haste*3|Counterspell*3|Dispel Magic*3|Banishment*4|Blight*4|Cone Of Cold*5|Animate Objects*5|Scatter*6|Simulacrum*7|Power Word Stun*8|Foresight *9,Stealth|Arcana|Insight|Medicine|Deception
18af4b4b,Warlock 20,No spells,Arcana|History|Investigation|Survival|Deception
f8402acc,Bard 20,No spells,Arcana|History|Religion
d4a88419,Paladin 20,Protection from Evil and Good*1|Sanctuary*1|Lesser Restoration*2|Zone of Truth*2|Beacon of Hope*3|Dispel Magic*3|Freedom of Movement*4|Guardian of Faith*4|Commune*5|Flame Strike*5,Athletics|Intimidation
d5009c3c,Cleric 20,Light*0|Burning Hands*1|Faerie Fire*1|Spiritual Weapon*1|Flaming Sphere*2|Scorching Ray*2|Dispel Magic*2|Bestow Curse*2|Spiritual Weapon*2|Daylight*3|Fireball*3|Spirit Guardians*3|Guardian of Faith*4|Wall of Fire*4|Raise Dead*4|Banishment*4|Flame Strike*5|Scrying*5|Summon Celestial*5|Mass Cure Wounds*5|Greater Restoration*5|Heal*6|Create Undead*6|Conjure Celestial*7|Holy Aura*8|Mass Heal*9,Athletics|History|Religion|Insight|Medicine|Perception
0de5ab9c,Barbarian 20,No spells,Athletics|Nature|Religion|Animal Handling|Insight|Perception|Intimidation
82d6765b,Monk 20,No spells,Athletics|Acrobatics|Sleight of Hand|Stealth|Perception
b9f81bfd,Druid 20,Chill Touch*0|Blindness/Deafness*2|Gentle Repose*2|Animate Dead*3|Gaseous Form*3|Blight*4|Confusion*4|Cloudkill*5|Contagion*5,Stealth|Nature|Animal Handling|Insight
79e53fe3,Wizard 20,Animate Dead*3,Arcana|History|Investigation|Religion|Insight
6ac49724,Cleric 20,Spare The Dying*0|Toll The Dead*0|Sacred Flame*0|Thaumaturgy*0|Light*0|Heroism DD*1|Sanctuary DD*1|Bless*1|Protection from Evil/Good*1|Aid DD*2|Warding Bond DD*2|Blindness/Deafness*2|Lesser Restoration*2|Locate Object*2|Spiritual Weapon*2|Beacon of Hope DD*3|Sending DD*3|Remove Curse*3|Mass Healing Word*3|Revivify*3|Magic Circle*3|Bestow Curse*3|Water Walk R*3|Spirit Guardians*3|Aura of Purity DD*4|Resilient Sphere DD*4|Banishment*4|Flame Strike*4|Greater Restoration DD*5|Telepathic Bond DD*5|Mass Cure Wounds*5|Raise Dead*5|Hallow*5|Scrying*5|Forbiddance*6|Heroes Feast*6|True Seeing*6|Plane Shift*7|Regenerate*7|Symbol*7|Temple Of The Gods*7|Antimagic Field*8|Holy Aura*8|Mass Heal*9|True Resurrection*9|Gate*9,Arcana|History|Religion|Insight|Performance|Persuasion
92db4c69,Monk 20,No spells,Athletics|Acrobatics|History|Religion|Insight
c52b507f,Paladin 20,Guiding Bolt*1|Heroism*1|Enhance Ability*2|Magic Weapon*2|Haste*3|Protection from Energy*3|Compulsion*4|Freedom of Movement*4|Commune*5|Flame Strike*5,Athletics|Animal Handling|Medicine|Survival
31b9696e,Fighter 20,No spells,Athletics|Acrobatics|Insight|Perception|Survival|Intimidation
ae63ed2b,Wizard 20,No spells,Arcana|History|Nature|Religion|Insight|Medicine
