Session,Character,Success Rate (%)
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,ee1e382c,126.325
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,f1f6ff43,20.724999999999998
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,f92bdd74,86.925
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,5b8cf3ca,64.425
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,076d33f5,52.425000000000004
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,1747c66f,71.325
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,2799d7c7,4.925
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,bbfecbd0,14.325
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,14c620fd,10.225
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,1fa0ddaa,33.025000000000006
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,3642210d,8.225
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,51c03368,69.125
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,993b230a,52.625
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,c0932a0f,17.224999999999998
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,58c4b58b,40.825
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,9e67774b,31.724999999999998
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,a6fa19f7,9.825
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,d69e3265,51.425000000000004
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,e8ab2c25,93.125
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,74164cde,16.925
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,e38541dc,24.325
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,3a2684ba,5.525
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,c1a0daf7,40.625
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,bd85e6b0,36.625
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,fb08394e,28.724999999999998
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,15839e81,42.625
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,b403b933,86.22500000000001
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,89fafe4b,95.425
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,ee9712b6,93.325
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,242c0a68,95.025
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,7c3ad1fb,25.925
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,b04da670,32.625
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,8f563448,40.225
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,3f2013c7,64.925
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,d31e93e0,90.025
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,92b135b1,27.625
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,cbf2e5e0,12.725
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,20796701,10.924999999999999
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,bf2e6744,14.825
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,d90e4c7a,19.525000000000002
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,ef8cb1b2,96.325
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,3148f5ab,19.525000000000002
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,f3ac1951,19.925
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,ecc58947,22.325
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,7f8cbfe6,12.725
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,99e97b72,14.825
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,c5b3bc91,21.224999999999998
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,5193bc09,88.525
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,8d5ea30c,53.025000000000006
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,e614d5f9,34.325
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,c3c432c6,28.724999999999998
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,44617bd9,9.924999999999999
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,26b0eb85,24.525
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,4345c100,19.125
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,29728ed7,17.624999999999996
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,61a606e3,27.525
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,c52b507f,29.125
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,2ee6dea5,18.625
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,7c9fce8a,55.525000000000006
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,b2a3099d,89.325
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,efd2b922,23.925
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,f167c5c2,10.424999999999999
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,d4a88419,40.125
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,80373e16,33.525000000000006
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,74467435,18.525000000000002
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,933a0a9f,16.224999999999998
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,2c767c56,11.525
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,52bd23ec,106.22500000000001
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,b17341d5,13.125
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,4e1aec3f,21.625
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,No name from Charater #80,10.825
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,99486089,29.525000000000002
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,9e7007fc,9.725
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,No name from Charater #83,18.125
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,ac032f98,36.425000000000004
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,4d175338,5.325
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,28f87b3d,8.225
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,01db9f8a,19.925
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,9493858d,100.525
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,14fff9ab,10.125
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,87fc7855,33.425000000000004
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,6c0cd943,10.924999999999999
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,02a99af3,65.025
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,1b1f3ec4,13.225
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,0d630d83,87.625
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,78807894,17.724999999999998
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,1d10d101,37.125
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,fe537713,89.325
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,5a212aae,65.325
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,db647dac,22.625
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,8815230a,57.125
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,0df19594,115.625
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,273acfd0,67.425
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,d107a357,27.025
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,f62e4641,67.22500000000001
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,b58b8d4d,11.525
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,5b6a37df,93.425
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,31de192b,28.224999999999998
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,c6da2eb4,30.724999999999998
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,fbd7f166,14.425
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,a0f98790,35.525000000000006
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,93e96506,11.825
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,60c11daa,87.325
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,1b612617,29.925
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,8f54ac7a,23.925
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,2b7be08b,10.125
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,92d5b3cd,8.725
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,8cac0f34,16.825
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,b4e849e7,48.025000000000006
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,a9126442,34.425000000000004
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,1dcbdaa4,14.924999999999999
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,c9f2bf0d,15.225
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,5bffcd7e,14.125
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,c047b125,16.525000000000002
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,aef26dd2,27.325
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,4127a560,5.825
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,0b2641de,7.825
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,7c97e7a5,23.925
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,b1f875c4,88.425
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,879ba528,68.925
