Session,Character,Character_Class,Success Rate (%)
crititcalrole\(2x01)_CuriousBeginnings.txt,ee1e382c,Sorcerer 13|Cleric 1,54.425
crititcalrole\(2x01)_CuriousBeginnings.txt,f92bdd74,Sorcerer 3|Druid 2,30.624999999999996
crititcalrole\(2x01)_CuriousBeginnings.txt,242c0a68,Sorcerer 8|Warlock 2,44.525000000000006
crititcalrole\(2x01)_CuriousBeginnings.txt,c5b3bc91,Fighter 3|Rogue 3,29.724999999999998
crititcalrole\(2x01)_CuriousBeginnings.txt,8d5ea30c,Paladin 2|Warlock 2,20.025
crititcalrole\(2x01)_CuriousBeginnings.txt,c3c432c6,Barbarian 13|Rogue 3,49.725
crititcalrole\(2x01)_CuriousBeginnings.txt,4345c100,Fighter 3|Rogue 3,27.625
crititcalrole\(2x01)_CuriousBeginnings.txt,b2a3099d,Druid 2|Sorcerer 3,33.025
crititcalrole\(2x01)_CuriousBeginnings.txt,d4a88419,Sorcerer 1|Fighter 14,57.225
crititcalrole\(2x01)_CuriousBeginnings.txt,74467435,Barbarian 5|Fighter 1,25.025000000000002
crititcalrole\(2x01)_CuriousBeginnings.txt,87fc7855,Ranger 5|Druid 2,36.025000000000006
crititcalrole\(2x01)_CuriousBeginnings.txt,0df19594,Sorcerer 7|Cleric 2,49.525000000000006
crititcalrole\(2x01)_CuriousBeginnings.txt,879ba528,Bard 4|Rogue 1,32.525000000000006
crititcalrole\(2x01)_CuriousBeginnings.txt,87b921f9,Rogue 5|Paladin 7,40.62500000000001
crititcalrole\(2x01)_CuriousBeginnings.txt,ad721d36,Cleric 8|Druid 10,61.525
crititcalrole\(2x01)_CuriousBeginnings.txt,1f5e5c63,Cleric 7|Monk 1,36.125
crititcalrole\(2x01)_CuriousBeginnings.txt,f5cd89f8,Fighter 4|Rogue 3,28.025000000000002
crititcalrole\(2x01)_CuriousBeginnings.txt,b87aa871,Rogue 1|Wizard 7,44.625
crititcalrole\(2x01)_CuriousBeginnings.txt,7800c0db,Sorcerer 1|Bard 2,26.825
crititcalrole\(2x01)_CuriousBeginnings.txt,9e7007fc,Monk 3|Fighter 1,16.724999999999998
crititcalrole\(2x01)_CuriousBeginnings.txt,a6e5193e,Barbarian 5|Warlock 3,31.325
crititcalrole\(2x01)_CuriousBeginnings.txt,5d584807,Paladin 2|Bard 14,35.12500000000001
crititcalrole\(2x01)_CuriousBeginnings.txt,8356ccb2,Paladin 2|Rogue 1,21.825
crititcalrole\(2x01)_CuriousBeginnings.txt,fd5936f9,Cleric 6|Wizard 2,43.825
crititcalrole\(2x01)_CuriousBeginnings.txt,c7dd5f23,Cleric 6|Rogue 2,35.625
crititcalrole\(2x01)_CuriousBeginnings.txt,b1734d69,Wizard 4|Cleric 1,37.825
crititcalrole\(2x01)_CuriousBeginnings.txt,d73dede8,Ranger 3|Barbarian 3,28.124999999999996
crititcalrole\(2x01)_CuriousBeginnings.txt,249148fb,Ranger 4|Rogue 9,46.625
crititcalrole\(2x01)_CuriousBeginnings.txt,989ae3a2,Monk 7|Cleric 1,31.925
crititcalrole\(2x01)_CuriousBeginnings.txt,94bb45d4,Paladin 2|Cleric 2,25.225
crititcalrole\(2x01)_CuriousBeginnings.txt,9566b3cd,Cleric 4|Monk 5,31.925
crititcalrole\(2x01)_CuriousBeginnings.txt,5446c60b,Artificer 1|Wizard 5,37.225
crititcalrole\(2x01)_CuriousBeginnings.txt,53f682af,Cleric 9|Wizard 1,50.625
crititcalrole\(2x01)_CuriousBeginnings.txt,af61318b,Rogue 3|Bard 6,50.925000000000004
crititcalrole\(2x01)_CuriousBeginnings.txt,d3580ba7,Wizard 4|Barbarian 1,25.824999999999996
crititcalrole\(2x01)_CuriousBeginnings.txt,bd8bd303,Druid 8|Rogue 4,43.325
crititcalrole\(2x01)_CuriousBeginnings.txt,56024c55,Fighter 16|Cleric 4,65.825
crititcalrole\(2x01)_CuriousBeginnings.txt,25b7c623,Fighter 12|Paladin 8,57.925000000000004
crititcalrole\(2x01)_CuriousBeginnings.txt,998b47d8,Barbarian 10|Sorcerer 10,72.425
crititcalrole\(2x01)_CuriousBeginnings.txt,16a06a9c,Wizard 10|Bard 10,74.525
crititcalrole\(2x01)_CuriousBeginnings.txt,79d618e7,Fighter 8|Artificer 4,45.925000000000004
crititcalrole\(2x01)_CuriousBeginnings.txt,539b5b84,Barbarian 2|Warlock 3,18.625
crititcalrole\(2x01)_CuriousBeginnings.txt,7e28c683,Sorcerer 6|Warlock 1,37.925000000000004
crititcalrole\(2x01)_CuriousBeginnings.txt,99cb2f78,Cleric 6|Wizard 2,43.825
crititcalrole\(2x01)_CuriousBeginnings.txt,1eb13d27,Ranger 3|Monk 3,26.525
crititcalrole\(2x01)_CuriousBeginnings.txt,980659f1,Artificer 1|Wizard 1,18.925
crititcalrole\(2x01)_CuriousBeginnings.txt,2d32e6af,Cleric 5|Monk 5,40.025
crititcalrole\(2x01)_CuriousBeginnings.txt,c9d0cb6c,Fighter 2|Sorcerer 1,26.325
crititcalrole\(2x01)_CuriousBeginnings.txt,4c4db333,Sorcerer 9|Warlock 1,45.525
crititcalrole\(2x01)_CuriousBeginnings.txt,fbf1e145,Rogue 5|Ranger 5,43.825
crititcalrole\(2x01)_CuriousBeginnings.txt,22b13800,Monk 20|Fighter 20,99.525
crititcalrole\(2x01)_CuriousBeginnings.txt,4e070d9f,Barbarian 6|Fighter 6,35.525000000000006
crititcalrole\(2x01)_CuriousBeginnings.txt,bfa50c79,Bard 4|Warlock 2,37.125
crititcalrole\(2x01)_CuriousBeginnings.txt,89ff6b07,Ranger 3|Rogue 8,44.125
crititcalrole\(2x01)_CuriousBeginnings.txt,6cf37f0b,Bard 17|Fighter 3,72.92500000000001
crititcalrole\(2x01)_CuriousBeginnings.txt,3f0377b6,Barbarian 9|Bard 4,42.925
crititcalrole\(2x01)_CuriousBeginnings.txt,ec027deb,Monk 1|Cleric 5,32.025000000000006
crititcalrole\(2x01)_CuriousBeginnings.txt,686f6ace,Warlock 3|Wizard 2,36.125
crititcalrole\(2x01)_CuriousBeginnings.txt,c7c2a4ca,Artificer 19|Cleric 1,71.125
crititcalrole\(2x01)_CuriousBeginnings.txt,3534e2a1,Barbarian 10|Sorcerer 10,75.225
crititcalrole\(2x01)_CuriousBeginnings.txt,ae2f4126,Barbarian 6|Sorcerer 14,77.625
crititcalrole\(2x01)_CuriousBeginnings.txt,d5eef820,Barbarian 14|Sorcerer 6,70.025
crititcalrole\(2x01)_CuriousBeginnings.txt,893bda09,Ranger 2|Cleric 1,25.325
crititcalrole\(2x01)_CuriousBeginnings.txt,8b1bcb5c,Barbarian 6|Fighter 3,24.825
crititcalrole\(2x01)_CuriousBeginnings.txt,ba476570,Fighter 7|Rogue 2,34.925000000000004
crititcalrole\(2x01)_CuriousBeginnings.txt,0bdaaf39,Fighter 12|Barbarian 2,45.225
crititcalrole\(2x01)_CuriousBeginnings.txt,67da12aa,Ranger 6|Druid 2,27.925
crititcalrole\(2x01)_CuriousBeginnings.txt,4ed27e9b,Rogue 5|Fighter 2,30.425
crititcalrole\(2x01)_CuriousBeginnings.txt,c4c7658b,Sorcerer 3|Warlock 2,34.025000000000006
crititcalrole\(2x01)_CuriousBeginnings.txt,33dbd3c4,Sorcerer 3|Warlock 2,34.125
crititcalrole\(2x01)_CuriousBeginnings.txt,09cdfdb5,Sorcerer 3|Warlock 2,36.425000000000004
crititcalrole\(2x01)_CuriousBeginnings.txt,f6c46f3f,Warlock 5|Sorcerer 1,36.525
crititcalrole\(2x01)_CuriousBeginnings.txt,7d2f8950,Rogue 4|Monk 6,40.225
crititcalrole\(2x01)_CuriousBeginnings.txt,2cde441b,Rogue 2|Warlock 1,19.525000000000002
crititcalrole\(2x01)_CuriousBeginnings.txt,dce3de68,Rogue 18|Ranger 18,111.425
crititcalrole\(2x01)_CuriousBeginnings.txt,d627ea69,Fighter 11|Warlock 9,62.825
crititcalrole\(2x01)_CuriousBeginnings.txt,9798a2be,Rogue 1|Sorcerer 4,38.525
crititcalrole\(2x01)_CuriousBeginnings.txt,e58e8f39,Rogue 1|Wizard 4,26.625
